17
0	0	0	-14037	VeryCold	VeryDeep_Ocean	Wettest	Ocean	Water,Black_Coal	Empty	17,1,17,1
1	1	0	-7202	VeryCold	VeryDeep_Ocean	Wettest	Ocean	Water,Uranium,Saltpeter	Empty	0,18,2,0,18,2
2	2	0	-2930	VeryCold	MidDepth_Ocean	Wettest	Ocean	Water,Fish,Wolfram,Uranium,Saltpeter	Empty	1,19,3,1,19,3
3	3	0	648	Cold	Desert	Dry	Slimy_Podzolic	Gas,Wolfram,Uranium,Saltpeter	CountryA	2,20,4,2,20,4
4	4	0	2589	Neutral	Mount_Conifer	Dry	Slimy_Podzolic	Forest,Goats,Gas,Chromium,Wolfram,Uranium,Saltpeter	CountryA	3,21,5,3,21,5
5	5	0	3307	Neutral	Alpine_Tundra	NeutralDry	Slimy_Tundra	Forest,Black_Coal,Oil,Wolfram,Uranium,Saltpeter	CountryA	4,22,6,4,22,6
6	6	0	3920	Warm	Alpine_Tundra	Neutral	Slimy_Tundra	Forest,Black_Coal,Oil,Wolfram,Uranium,Saltpeter	CountryA	5,23,7,5,23,7
7	7	0	4446	VeryWarm	Alpine_Tundra	NeutralWet	Slimy_Tundra	Forest,Brown_Coal,Oil,Wolfram,Uranium	CountryA	6,24,8,6,24,8
8	8	0	5720	Neutral	Alpine_Tundra	NeutralDry	Slimy_Tundra	Forest,Black_Coal,Wolfram	CountryA	7,25,9,7,25,9
9	9	0	3369	VeryWarm	Alpine_Tundra	Wet	Slimy_Tundra	Forest,Black_Coal,Wolfram	CountryA	8,26,10,8,26,10
10	10	0	2025	Warm	Mount_Conifer	NeutralWet	Red_Soil	Forest,Sheep,Black_Coal	CountryA	9,27,11,9,27,11
11	11	0	849	Warm	Jungle	NeutralWet	Red_Soil	Soil,Cereal_Crops,Black_Coal	CountryA	10,28,12,10,28,12
12	12	0	354	Warm	Woodland	Neutral	Ocean	Soil,Cereal_Crops,Black_Coal,Graphite	CountryA	11,29,13,11,29,13
13	13	0	-2318	VeryCold	MidDepth_Ocean	Wettest	Ocean	Water,Fish,Black_Coal	Empty	12,30,14,12,30,14
14	14	0	-4554	VeryCold	Deep_Ocean	Wettest	Ocean	Water,Fish,Black_Coal,Nickel	Empty	13,31,15,13,31,15
15	15	0	-6670	VeryCold	VeryDeep_Ocean	Wettest	Ocean	Water,Black_Coal,Nickel,Saltpeter	Empty	14,32,16,14,32,16
16	16	0	-9042	VeryCold	VeryDeep_Ocean	Wettest	Ocean	Water,Black_Coal,Nickel,Saltpeter	Empty	15,33,15,33
17	0	1	-7206	VeryCold	VeryDeep_Ocean	Wettest	Ocean	Water,Black_Coal,Silver	Empty	0,34,18,0,34,18
18	1	1	-4637	VeryCold	Deep_Ocean	Wettest	Ocean	Water,Fish	Empty	1,17,35,19,1,17,35,19
19	2	1	-1060	VeryCold	MidDepth_Ocean	Wettest	Ocean	Water,Fish,Gold,Uranium,Saltpeter	Empty	2,18,36,20,2,18,36,20
20	3	1	1309	Cold	Desert	Dry	Slimy_Podzolic	Gas,Gold,Uranium,Saltpeter	CountryA	3,19,37,21,3,19,37,21
21	4	1	2752	Neutral	Mount_Conifer	Dry	Slimy_Podzolic	Forest,Goats,Black_Coal,Gas,Chromium,Gold,Uranium,Saltpeter	CountryA	4,20,38,22,4,20,38,22
22	5	1	3414	Neutral	Alpine_Tundra	NeutralDry	Slimy_Tundra	Forest,Black_Coal,Gas,Chromium,Silver,Uranium,Saltpeter	CountryA	5,21,39,23,5,21,39,23
23	6	1	3621	Warm	Alpine_Tundra	Neutral	Slimy_Tundra	Forest,Black_Coal,Oil,Chromium,Silver,Uranium,Saltpeter	CountryA	6,22,40,24,6,22,40,24
24	7	1	3699	VeryWarm	Alpine_Tundra	NeutralWet	Slimy_Tundra	Forest,Brown_Coal,Oil,Silver	CountryA	7,23,41,25,7,23,41,25
25	8	1	3372	VeryWarm	Alpine_Tundra	Wet	Slimy_Tundra	Forest,Brown_Coal,Oil,Silver	CountryA	8,24,42,26,8,24,42,26
26	9	1	2363	VeryWarm	Mount_Conifer	NeutralWet	Red_Soil	Forest,Sheep,Black_Coal	CountryA	9,25,43,27,9,25,43,27
27	10	1	1139	Warm	Jungle	NeutralWet	Red_Soil	Soil,Cereal_Crops,Black_Coal,Titan	CountryA	10,26,44,28,10,26,44,28
28	11	1	169	VeryWarm	Jungle	NeutralWet	Red_Soil	Soil,Cereal_Crops,Brown_Coal,Titan	CountryA	11,27,45,29,11,27,45,29
29	12	1	-1175	Neutral	MidDepth_Ocean	Wettest	Ocean	Water,Fish,Black_Coal,Titan,Sulfur	Empty	12,28,46,30,12,28,46,30
30	13	1	-2933	VeryCold	MidDepth_Ocean	Wettest	Ocean	Water,Fish,Black_Coal,Titan	Empty	13,29,47,31,13,29,47,31
31	14	1	-4764	VeryCold	Deep_Ocean	Wettest	Ocean	Water,Fish,Black_Coal,Titan	Empty	14,30,48,32,14,30,48,32
32	15	1	-6414	VeryCold	VeryDeep_Ocean	Wettest	Ocean	Water,Black_Coal,Titan	Empty	15,31,49,33,15,31,49,33
33	16	1	-7453	VeryCold	VeryDeep_Ocean	Wettest	Ocean	Water,Black_Coal,Titan,Saltpeter	Empty	16,32,50,16,32,50
34	0	2	-2943	VeryCold	MidDepth_Ocean	Wettest	Ocean	Water,Fish,Black_Coal,Mercury	Empty	17,51,35,17,51,35
35	1	2	-1022	VeryCold	MidDepth_Ocean	Wettest	Ocean	Water,Fish,Mercury	Empty	18,34,52,36,18,34,52,36
