ID	Name	Price	Amount	Time First	Time All	Resource	Industry										
0	Mussels	5	1	0,0,0,10	0,0,0,5	Seafood	Animal_Farming										
1	Octopuses	5	1	0,0,0,10	0,0,0,5	Seafood	Animal_Farming										
2	Algae	5	1	0,0,0,10	0,0,0,5	Seafood	Animal_Farming										
3	Wood	1	1	0,0,0,10	0,0,0,5	Forest	Forest_Industry										
4	Paper	2	1	0,0,0,10	0,0,0,5	Forest	Forest_Industry										
5	Furniture	4	1	0,0,0,10	0,0,0,5	Forest	Forest_Industry										
6	Furniture	4	1	0,0,0,10	0,0,0,5	Aluminium	Color_Metallurgy										
7	Milk	1	1	0,0,0,10	0,0,0,5	Cows	Animal_Farming										
8	Milk	1	1	0,0,0,10	0,0,0,5	Goats	Animal_Farming										
9	Meat	1	1	0,0,0,10	0,0,0,5	Cows	Animal_Farming										
10	Meat	1	1	0,0,0,10	0,0,0,5	Goats	Animal_Farming										
11	Meat	1	1	0,0,0,10	0,0,0,5	Pigs	Animal_Farming										
12	Meat	1	1	0,0,0,10	0,0,0,5	Chickens	Animal_Farming										
13	Meat	1	1	0,0,0,10	0,0,0,5	Sheep	Animal_Farming										
14	Leather	1	1	0,0,0,10	0,0,0,5	Cows	Animal_Farming										
15	Leather	1	1	0,0,0,10	0,0,0,5	Goats	Animal_Farming										
16	Wool	1	1	0,0,0,10	0,0,0,5	Sheep	Animal_Farming										
17	Eggs	1	1	0,0,0,10	0,0,0,5	Chickens	Animal_Farming										
18	Feathers	1	1	0,0,0,10	0,0,0,5	Chickens	Animal_Farming										
19	Sunflower	3	1	0,0,0,10	0,0,0,5	Oil_Crops	Crops_Farming										
20	Olive	3	1	0,0,0,10	0,0,0,5	Oil_Crops	Crops_Farming										
21	Wheat	3	1	0,0,0,10	0,0,0,5	Cereal_Crops	Crops_Farming										
22	Rice	3	1	0,0,0,10	0,0,0,5	Cereal_Crops	Crops_Farming										
23	Corn	3	1	0,0,0,10	0,0,0,5	Cereal_Crops	Crops_Farming										
24	Beans	3	1	0,0,0,10	0,0,0,5	Cereal_Crops	Crops_Farming										
25	Cotton	3	1	0,0,0,10	0,0,0,5	Industrial_Crops	Crops_Farming										
26	Flax	3	1	0,0,0,10	0,0,0,5	Industrial_Crops	Crops_Farming										
