Name	Category	Creation Amount & Time	Depletion Coef	Fix Coef light	Fix Coef heavy
Shooter	H	30,0,0,0,30	0.01	0.03	0.015
Machine_Gun_Operator	H	15,0,0,0,45	0.01	0.03	0.015
Grenade_Launcher_Operator	H	15,0,0,1,0	0.01	0.03	0.015
Scout	H	12,0,0,1,30	0.05	0.03	0.015
Sniper	H	10,0,0,2,30	0.07	0.02	0.01
Car_Driver	H	5,0,0,0,45	0.09	0.05	0.025
Tank_Driver	H	5,0,0,2,0	0.12	0.04	0.02
Armed_Vehicle_Driver	H	5,0,0,1,15	0.12	0.04	0.02
Artillery_Driver	H	3,0,0,2,0	0.09	0.04	0.02
Mechanic	H	10,0,0,1,0	0.01	0.03	0.015
Medic	H	10,0,0,3,0	0.05	0.02	0.01
Sapper	H	10,0,0,2,30	0.05	0.03	0.015
Signal_Com	H	10,0,0,2,0	0.05	0.05	0.025
Aimer	H	30,0,0,0,45	0.01	0.05	0.025
Artilleryman	H	12,0,0,1,30	0.03	0.03	0.015
Paratrooper	H	12,0,0,3,0	0.12	0.02	0.01
Drone_Operator	H	15,0,0,0,30	0.01	0.05	0.025
Pilot	H	3,0,0,10,0	0.15	0.02	0.01
Navy	H	5,0,0,5,0	0.09	0.025	0.01
Chemical_Corp	H	12,0,0,2,0	0.02	0.05	0.025
Anti_Aircraft_Operator	H	5,0,0,1,45	0.15	0.04	0.02
Special_Forces	H	12,0,0,7,0	0.17	0.02	0.01
Car	V	10,0,0,0,45	0.05	0.03	0.015
Armed_Vehicle	V	5,0,0,1,30	0.05	0.03	0.015
Tank	V	3,0,0,2,30	0.05	0.025	0.012
Self_Propelling_Artillery	V	3,0,0,2,15	0.07	0.025	0.012
Multiple_Rocket_Launcher	V	3,0,0,2,45	0.08	0.025	0.012
Electromagnetic_Warfare_System	V	3,0,0,3,0	0.04	0.025	0.012
Artillery_System	V	5,0,0,2,15	0.07	0.03	0.015
Anti_Aircraft_System	V	3,0,0,3,30	0.06	0.03	0.015
Radar	V	3,0,0,4,0	0.1	0.015	0.007
Observing_Drone	V	15,0,0,0,15	0.07	0.06	0.03
Ship	V	3,0,0,4,0	0.07	0.03	0.015
Submarine	V	3,0,0,4,15	0.07	0.03	0.015
Boat	V	5,0,0,3,30	0.05	0.03	0.015
Helicopter	V	3,0,0,3,15	0.08	0.025	0.012
Fighter_Airplane	V	3,0,0,5,15	0.09	0.025	0.012
Cargo_Airplane	V	3,0,0,4,30	0.09	0.025	0.012
Bomber_Airplane	V	3,0,0,5,0	0.09	0.025	0.012
Pistol	T	15,0,0,0,45	0.1	0.25	0.12
Assault_Rifle	T	15,0,0,1,15	0.1	0.25	0.12
Sniper_Rifle	T	10,0,0,1,30	0.1	0.2	0.1
Grenade_Launcher	T	10,0,0,1,30	0.12	0.25	0.12
Machine_Gun	T	15,0,0,1,30	0.15	0.2	0.1
Mortar	T	10,0,0,1,30	0.12	0.25	0.25
Bullet	T	30,0,0,0,15	100.0	0.0	0.0
Cartridge	T	20,0,0,0,30	100.0	0.0	0.0
Hand_Grenade	T	10,0,0,0,45	100.0	0.0	0.0
Dragon's_Teeth	S	1,0,0,0,0	0.2	0.0	0.0
Hedgehog	S	1,0,0,0,0	0.2	0.0	0.0
Foxhole	S	1,0,0,0,0	0.3	0.0	0.0
Shell_Scrape	S	1,0,0,0,0	0.35	0.0	0.0
Pillbox	S	1,0,0,0,0	0.15	0.0	0.0
Machine_Gun_Nest	S	1,0,0,0,0	0.3	0.0	0.0
Trench	S	1,0,0,0,0	0.15	0.0	0.0
Anti-tank_Trench	S	1,0,0,0,0	0.15	0.0	0.0
Funk-hole	S	1,0,0,0,0	0.2	0.0	0.0
